#"Step","opes_expl_bias (kJ/mol)"
200,-125.99999999999999
400,-126.0
600,-96.62207475753706
800,-125.94671547196647
1000,-4.847774676280346
1200,-8.559960514583544
1400,26.267154288099455
1600,6.91371865212305
1800,45.25876883007462
2000,18.708552498056243
2200,41.536160101416634
2400,43.44377029922569
2600,-0.23598423680363254
2800,-92.93018758926688
3000,-72.41143907308116
3200,-84.3851823874824
3400,-22.216674973043705
3600,-22.24856306862492
3800,3.6996049449848503
4000,3.284379686224976
4200,19.61289631772964
4400,19.503140426599934
4600,30.555116204648986
4800,31.058321112244595
5000,39.40371249327443
5200,39.424907512145325
5400,45.24729057501166
5600,45.6754121606478
5800,51.63345255243281
6000,51.129188376001814
6200,56.292674647984605
6400,56.26933932159831
6600,58.18092570379066
6800,60.355017108962784
7000,63.250274529522855
7200,63.128238750523735
7400,66.98053497204903
7600,65.56335440422784
7800,68.98454747471837
8000,67.74318995484637
8200,72.01292893429726
8400,69.85709541674811
8600,74.75668453365681
8800,72.33196918273927
9000,74.01842113572832
9200,76.87358642793914
9400,79.01240711200043
9600,73.71650671946652
9800,78.39083721745577
10000,73.18342371656719
10200,79.54483735452193
10400,82.2271110132769
10600,84.00052490916417
10800,80.20364186129844
11000,86.0060333063036
11200,85.71115219734142
11400,83.95452847254616
11600,86.13458036980713
11800,86.97742049839215
12000,89.16535864318054
12200,90.54443390151091
12400,88.71550662770454
12600,89.30941367373772
12800,90.38285006821337
13000,91.55628868961712
13200,92.68769533605276
13400,91.629771394035
13600,94.0755975521403
13800,93.55738589665837
14000,96.01398010300339
14200,97.30339972691011
14400,95.40668506556729
14600,97.95545058745702
14800,98.5051499758703
15000,99.51927979316065
15200,99.7304190344902
15400,99.78582676010333
15600,98.25436640744047
15800,99.51084897298713
16000,101.98616355725709
16200,100.4532524754479
16400,101.57173221135886
16600,94.44327749163115
16800,104.05880926097727
17000,100.64179837431065
17200,104.63362778022665
17400,101.49266993727223
17600,105.59072126145779
17800,105.56547854314076
18000,106.06340025018464
18200,107.6556098495961
18400,107.59099263863688
18600,104.79962046564394
18800,104.16538774516685
19000,103.34116587712798
19200,103.12051493146606
19400,96.06453353466932
19600,99.75937922171158
19800,94.86656657091147
20000,102.16218954843188
20200,102.50695466229428
20400,106.72281010143129
20600,106.09307026457707
20800,89.29703375137876
21000,108.0327636805513
21200,115.11173494959073
21400,89.07471018855203
21600,111.66577705700675
21800,116.31399239979659
22000,117.6440898632128
22200,112.46708656368178
22400,117.91194411725738
22600,100.52821428375361
22800,118.87799583995739
23000,100.60737013720428
23200,106.75908070471661
23400,119.5405207011407
23600,120.19304116331215
23800,80.43176170750922
24000,93.190776489227
24200,99.9129611497602
24400,117.43797771273424
24600,114.79284049468289
24800,117.0939240561931
25000,120.8702827539459
25200,121.81711153370259
25400,97.5007227091251
25600,100.80890595483552
25800,112.96292220190416
26000,94.7166852368691
26200,120.72325695266332
26400,112.61639006369363
26600,112.92934857842748
26800,121.14798571731788
27000,114.35998085032844
27200,108.93026243705619
27400,106.16657682439725
27600,121.50616204242276
27800,123.06341796426042
28000,114.39255390743695
28200,116.20095231511407
28400,115.4117234879332
28600,115.6380207208042
28800,111.33145976305107
29000,112.75352692692113
29200,85.63252903314851
29400,116.52067733646027
29600,124.2522778430632
29800,110.53242451355472
30000,106.5940781187731
30200,107.48598167508102
30400,114.00534052111755
30600,110.71589508199256
30800,114.58339764886318
31000,109.85837308338354
31200,117.3409990860344
31400,100.33879315715026
31600,116.3984867276968
31800,109.01401707178437
32000,119.18613618050206
32200,126.07742399433612
32400,122.55983343683394
32600,126.73689052431573
32800,126.9310889386591
33000,120.50677832889039
33200,116.55052485440181
33400,122.39209120045123
33600,107.54080576147662
33800,110.65383933508265
34000,112.40754033073095
34200,128.18113097043653
34400,120.7761503430546
34600,104.10594351135852
