#"Step","opes_expl_bias (kJ/mol)"
200,-126.0
400,-126.0
600,-124.40460842159166
800,-124.61431026094117
1000,4.099361769839735
1200,4.220750410589278
1400,36.19420517322918
1600,35.63165081217362
1800,-102.2368059049536
2000,-102.5547254091898
2200,-114.24229325221542
2400,-125.99921496986471
2600,-98.34451149341596
2800,-113.02925799188739
3000,-33.76725871812004
3200,-31.177223051992794
3400,-16.268565584137164
3600,-30.568949117269998
3800,-48.66366015248071
4000,-65.81415147983094
4200,-34.250274460406686
4400,-30.13601020869887
4600,-11.845212107454527
4800,-15.915397198826888
5000,7.974411148564858
5200,9.72874529299446
5400,8.46144977335986
5600,-56.10298220822603
5800,-30.981863963530017
6000,-30.101112053315582
6200,-14.63026062715342
6400,-12.9995544662191
6600,4.5024095152962085
6800,14.569882049694092
7000,34.03869207164925
7200,36.31352209125529
7400,38.21420346737545
7600,35.87932217370481
7800,43.68043997540022
8000,43.58669902663986
8200,50.28161376709959
8400,49.63044457493574
8600,53.50791695600727
8800,55.73665624339142
9000,60.26705034118776
9200,60.92925509023628
9400,65.2749982609895
9600,64.67678253823422
9800,69.74978351437319
10000,68.54132953457744
10200,72.2052784509162
10400,68.011763627054
10600,72.85811250722777
10800,75.53945114141801
11000,79.90244898194665
11200,79.97359974387562
11400,83.5408467676058
11600,82.57072097515919
11800,72.49432857387671
12000,86.55180859472986
12200,78.50686519793332
12400,89.27490777701198
12600,86.15532968798163
12800,91.20901039943348
13000,61.001993282750924
13200,19.234854721954136
13400,31.67925134105656
13600,20.11791161748585
13800,7.812106585075861
14000,7.849388296832119
14200,15.335809048474044
14400,15.174733385136186
14600,22.84680746251176
14800,22.134356581209037
15000,27.159164622555966
15200,27.255596848904265
15400,35.18466847891023
15600,34.81739627262212
15800,43.2321188833467
16000,26.7878425104131
16200,-17.2395926651289
16400,-17.982587647204717
16600,-8.649257961318716
16800,-9.46989970338857
17000,5.6702670831788105
17200,-1.613786653691985
17400,3.0880675263750974
17600,3.3726755384670266
17800,11.62147356582217
18000,15.780539368533134
18200,22.943881443912602
18400,16.74837467024266
18600,28.207378580966804
18800,25.95924162648885
19000,24.906356220379422
19200,27.50814026395989
19400,31.641610418607304
19600,27.714596809021113
19800,28.698761255272988
20000,28.362250774703213
20200,39.5681448798187
20400,36.66332531241144
20600,38.399853825747584
20800,41.61470628643718
21000,50.789964837359314
21200,49.23276512670186
21400,51.1797570470633
21600,55.543548574593416
21800,52.02723302900531
22000,47.980843402505585
22200,51.61326875502608
22400,54.08817474684738
22600,55.292692300524955
22800,54.99811445936304
23000,61.12407476775816
23200,60.70710071598249
23400,62.009690274891035
23600,64.20011484207134
23800,57.441027826021596
24000,54.53174832482666
24200,52.10980107121243
24400,57.205676733921685
24600,63.81403612400173
24800,63.17122020115131
25000,60.76235922599738
25200,55.78539006086594
25400,58.78521595416468
25600,53.59335564650025
25800,61.78934490978477
26000,63.73396577049925
26200,65.58277242361036
26400,72.0022916946843
26600,69.43366274072999
26800,65.51230940466012
27000,65.09948341944234
27200,56.69078215371979
27400,70.39042467297115
27600,74.1534595881685
27800,73.79502230850254
28000,67.64485573118262
28200,66.74481725865155
28400,67.25128188670416
28600,77.01978410084664
28800,65.90362752694558
29000,66.10417593949037
29200,69.92200515028912
29400,73.12743959484405
29600,72.05453442056718
29800,80.85099107982698
30000,78.0212943241253
30200,73.12601975751929
30400,69.75671071112065
30600,73.46933265073339
30800,78.35731785416544
31000,73.3216856522711
31200,73.9754476610448
31400,79.5463811924573
31600,83.40513181022874
31800,84.80881174836934
32000,82.54465471233736
32200,83.64505729375415
32400,84.91211771450311
32600,81.25901318383887
32800,86.52159609770385
33000,81.44248203635463
33200,74.89714147774278
33400,79.02039553107613
33600,83.11831926934485
33800,82.79164261992688
34000,81.0448218339155
34200,70.72923995921512
34400,87.51427659522119
34600,89.40594522628683
34800,87.04249116828937
35000,89.84876951485148
35200,83.68116219660013
35400,76.56473994120573
35600,90.93158510672238
35800,48.974699569413524
36000,24.447967822481427
36200,-13.588137189379973
36400,-19.377220925333102
36600,-24.079995459288224
36800,-27.360246234655754
37000,-17.981361590568234
37200,-19.335478746947057
37400,-13.233440555669716
37600,-12.54659125711579
37800,-18.731560802973117
38000,-10.490799218009139
38200,-8.424545060661247
38400,-24.643087070908738
38600,-2.983350705084957
38800,-8.738786501183174
39000,-1.484254947155975
39200,-1.4914989024904288
39400,-1.9408421505803035
39600,2.4460873162572128
39800,5.217350520938558
40000,1.2985990019544846
40200,7.7250430145218685
40400,6.7378150496546345
40600,8.583048104570395
40800,9.734988371156863
41000,10.838830020525988
41200,11.655613616399926
41400,14.443426985794984
41600,13.806997880510853
41800,-1.2843644545559418
42000,-29.017663367215757
42200,-5.751143981621209
42400,-7.689534654552073
42600,20.27921007448255
42800,25.24252142591087
43000,3.9645735138781046
43200,28.14861343622461
43400,30.312126584703474
43600,32.764771300240376
43800,25.44861200762453
44000,32.86760952734403
44200,35.76038058984917
44400,33.11515535090937
44600,25.855439155157214
44800,28.002473108266877
45000,-2.7503919608555822
45200,30.318636516307908
45400,37.762005041559874
45600,41.06086238399723
45800,21.713134386398156
46000,-13.660647088887428
46200,-2.6072749339368375
46400,6.054179193867731
46600,42.058196907592595
46800,34.64922409762968
47000,44.921648578074844
47200,15.408588655465032
47400,0.620518036528304
47600,28.648789725213284
47800,46.988910088391314
48000,33.5562537539614
48200,47.44403428426575
48400,34.086001300357424
48600,28.77540552385905
48800,-7.750174567924594
49000,-1.618203392122866
49200,-3.0956935927110676
49400,7.430847425109563
49600,5.724649038144612
49800,6.759160058196263
50000,16.840671633833725
50200,6.270125363823436
50400,11.329334151769608
50600,36.40121245442679
50800,45.95066658471494
51000,32.443399807306875
51200,44.37718073613575
51400,48.56640744684779
51600,41.75949703251386
51800,44.45060875160643
52000,49.05597484474185
52200,47.55015581592656
52400,45.494460843957214
52600,-2.5893140694393417
52800,6.265276029722525
53000,-1.6423112537615678
53200,-3.6830622499587578
53400,-1.351688962386279
53600,3.560435975696441
53800,4.651017213309082
54000,38.72753834621378
54200,56.03159274648117
54400,51.15228092156369
54600,45.864261631898096
54800,31.871370081210486
55000,3.504552112619707
55200,5.5776862045143485
55400,20.92782001051558
55600,8.69476708909654
55800,29.411048466945235
56000,12.733866229381793
56200,19.323146740173154
56400,42.20077349535763
56600,55.96661334515115
56800,54.33000540900402
57000,50.1940393251481
57200,50.59453708840263
57400,56.92130107622258
57600,54.32079547222771
57800,50.275244091775775
58000,47.80621572262595
58200,60.61295580355432
58400,57.92375677614518
58600,50.78520831688132
58800,62.0572292936514
59000,29.597981525190363
59200,-4.645780989657905
59400,-2.8278453107243764
59600,-1.870844545959685
59800,-0.6853507030730664
60000,1.0367419258297943
60200,8.46270119467754
60400,4.96690826464841
60600,3.3661240395042484
60800,8.057500441949479
61000,23.651280336381124
61200,10.176631386425257
61400,19.274947427950543
61600,8.228800989714902
61800,14.116242023114735
62000,16.49070095776075
62200,12.205457749626415
62400,22.5908125544869
62600,28.084828855758328
62800,15.029200666178271
63000,28.452266936999372
63200,24.12849805330954
63400,28.680829808614533
63600,47.79370829547769
63800,58.7675444657742
64000,59.30689256294949
64200,58.036236055100744
64400,52.64566419783146
64600,58.09870647174905
64800,58.91673079222631
65000,60.461879524132186
65200,62.283972660546446
65400,51.479037815206524
65600,64.63237961967872
65800,63.408140789254645
66000,50.87301289576405
66200,63.88123544767911
66400,67.42453414454225
66600,40.583551912411465
66800,67.7270171413206
67000,46.7489833954505
67200,66.95124072459693
67400,64.83049115947802
67600,60.67667934224419
67800,48.675360213499665
68000,67.65456999447066
68200,60.75307623004824
68400,71.1626381086423
68600,69.74151276651598
68800,22.676756058613893
69000,-1.9284372970265344
69200,1.125106827659721
69400,5.3592478914962305
69600,7.217219715291693
69800,13.251341228957374
70000,8.108677932656883
70200,22.984996887254162
70400,12.332716537291715
70600,35.34422166797259
70800,28.402404040727504
71000,14.99488904472639
71200,15.193785545930538
71400,17.752516402450887
71600,24.696771759540066
71800,21.267967110009888
72000,18.90725587524804
72200,22.613279148739814
72400,34.383089072036945
72600,34.78497824013869
72800,37.3774154101878
73000,37.382919687969576
73200,55.37055460029424
73400,51.128395417612666
73600,72.04495992387164
73800,49.3008346844915
74000,11.52388730803474
74200,10.913991096226965
74400,16.583358870942387
74600,45.924931756551885
74800,73.02172252546556
75000,66.7479272953609
75200,66.59948844646595
75400,72.37590855952367
75600,59.420994442389876
75800,75.91898738657359
76000,68.30593411325762
76200,58.37198797644814
76400,12.599427440262183
76600,13.947490847035382
76800,17.834359873047408
77000,16.49183747304634
77200,15.946032916358089
77400,15.56024901131796
77600,20.41193100651414
77800,54.87831528381131
78000,41.28231189013681
78200,19.329727214924574
78400,31.721012480802287
78600,37.32388556104975
78800,26.774906233992787
79000,28.827083018047848
79200,31.93328086170612
79400,25.448506698030773
79600,42.98601697857085
79800,69.1719881153528
80000,68.46615830478005
80200,55.65765686951673
80400,68.48068892293071
80600,53.34464100230973
80800,70.122876043195
81000,61.26794113662172
81200,47.28933484666481
81400,56.75018725468766
81600,70.89468314850713
81800,66.88728047323501
82000,58.93126914192708
82200,78.72129418708104
82400,74.28736714483267
82600,74.02263263944255
82800,39.593822367636264
83000,62.0986139489335
83200,78.19387491612281
83400,61.225077302387675
83600,32.723133121090335
83800,24.76185725679728
84000,36.87656715278871
84200,42.39263587512906
84400,48.43900106796931
84600,36.89303566211832
84800,33.8249636148226
85000,19.85179390704851
85200,22.951272609360267
85400,26.83818339570413
85600,26.982897281346567
85800,35.29772310565425
86000,60.11254940970723
86200,73.63599847402087
86400,47.57846192541837
86600,59.87173093335912
86800,61.13800483297645
87000,63.83183185882739
87200,57.144042082761395
87400,70.05895346757487
87600,62.11718075911021
87800,71.49179112476031
88000,73.88107273716729
88200,60.99687579680181
88400,74.8023833748813
88600,77.05992517440917
88800,55.34159204459
89000,76.29817583169705
89200,76.56198671020766
89400,70.56501381585159
89600,71.03774948507872
89800,79.18355936494439
90000,57.578061966069306
90200,15.452932900234781
90400,1.7628425413322522
90600,6.447179005274447
90800,6.589994025325859
91000,7.267300207010379
91200,6.990875538021559
91400,7.058291449806719
91600,19.316327993855015
91800,7.328560448367166
92000,13.601909583222811
92200,25.480506304240205
92400,9.984350361462456
92600,30.915446614739
92800,30.317187066083484
93000,11.916467227209479
93200,9.952161227197946
93400,13.00854034521017
93600,13.554795384404981
93800,15.689584123478241
94000,13.416379277550295
94200,18.64899210459329
94400,12.384254976995466
94600,20.123207024251677
94800,18.96548013599432
95000,15.449329198739147
95200,21.435646224682063
95400,22.776719746747165
95600,17.84161480784521
95800,19.71616651748222
96000,24.020840372049985
96200,21.150545005010734
96400,22.905703626729764
96600,20.579667913108928
